Year,黃金價格,美元指數,日經指數225,美債殖利率,通膨(%),原油(WTI),道瓊工業指數,黃金儲備量($mn),日圓
2019 Q4,1514.75,96.389999,"23,656.62",1.919,2.3,61.06,"28,538.44",1677871.85,108.62
2019 Q3,1485.3,99.379997,"21,755.84",1.668,1.7,54.07,"26,916.83",1631453.16,108.08
2019 Q2,1409,96.129997,"21,275.92",2.007,1.6,58.47,"26,599.96",1541387.07,107.89
2019 Q1,1295.4,97.279999,"21,205.81",2.407,1.9,60.14,"25,928.68",1409892.83,110.86
2018 Q4,1279,96.169998,"20,014.77",2.686,1.9,45.41,"23,327.46",1389471.56,109.58
2018 Q3,1187.25,95.190002,"24,120.04",3.065,2.3,73.25,"26,458.31",1282963.17,113.69
2018 Q2,1250.45,94.629997,"22,304.51",2.86,2.9,74.15,"24,271.41",1350296.03,110.68
2018 Q1,1323.85,89.970001,"21,454.30",2.741,2.4,64.94,"24,103.11",1422370.67,106.28
2017 Q4,1291,92.120003,"22,764.94",2.405,2.1,60.42,"24,719.22",1387676.16,112.69
2017 Q3,1283.1,93.080002,"20,356.28",2.339,2.2,51.67,"22,405.09",1376712.3,112.49
2017 Q2,1242.25,95.660004,"20,033.43",2.304,1.6,46.04,"21,349.63",1328204.8,112.38
2017 Q1,1244.85,100.349998,"18,909.26",2.389,2.4,50.6,"20,663.22",1329002.95,111.39
2016 Q4,1145.9,102.389999,"19,114.37",2.446,2.1,53.72,"19,762.60",1220929.08,116.89
2016 Q3,1322.5,95.459999,"16,449.84",1.598,1.5,48.24,"18,308.15",1401602.99,101.34
2016 Q2,1320.75,96.139999,"15,575.92",1.475,1,48.33,"17,929.99",1387700.38,103.29
2016 Q1,1237,94.589996,"16,758.67",1.77,0.9,38.34,"17,685.09",1291366.87,112.58
2015 Q3,1114,96.349998,"17,388.15",2.035,0,45.09,"16,284.70",1157571.45,119.86
2015 Q2,1171,95.489998,"20,235.73",2.349,0.1,59.47,"17,619.51",1214025.03,122.5
2015 Q1,1187,99.102997,"19,206.99",1.927,-0.1,47.6,"17,776.12",1204586.63,120.14
2014 Q4,1206,90.269997,"17,450.77",2.17,0.8,53.27,"17,823.07",1227773.61,119.69
2014Q3,1216.5,85.940002,"16,173.52",2.495,1.7,91.16,"17,042.90",1241087.1,109.66
2014 Q2,1315,79.779999,"15,162.10",2.532,2.1,105.37,"16,826.60",1331889.09,101.33
201 Q1,1291.75,80.099998,"14,827.83",2.719,1.5,101.58,"16,457.66",1677871.85,103.22
2013 Q4,1204.5,80.040001,"16,291.31",3.026,1.5,98.42,"16,576.66",1217536.79,105.31
2013 Q3,1326.5,80.220001,"14,455.80",2.615,1.2,102.33,"15,129.67",1341864.85,98.23
