Year,黃金價格,美元指數,日經指數225,美債殖利率,通膨(%),原油(WTI),道瓊工業指數,黃金儲備量($mn),日圓
2019 Q4,0.019827644,-0.030086517,0.087368725,0.150479616,0.352941176,0.129276863,0.060245207,0.028452358,0.004996299
2019 Q3,0.054151881,0.033808386,0.022556956,-0.168908819,0.0625,-0.075252266,0.011912424,0.058431845,0.001761053
2019 Q2,0.08769492,-0.011821567,0.003306169,-0.166181969,-0.157894737,-0.02776854,0.025889478,0.093265415,-0.026790547
2019 Q1,0.012822518,0.011542072,0.059508053,-0.103871929,0,0.32437789,0.111508926,0.014697149,0.011680964
2018 Q4,0.077279427,0.010295157,-0.170201625,-0.12365416,-0.173913043,-0.380068259,-0.118331443,0.083017496,-0.036150937
2018 Q3,-0.050541805,0.005917838,0.081397439,0.071678322,-0.206896552,-0.012137559,0.090101894,-0.049865258,0.027195519
2018 Q2,-0.055444348,0.051794998,0.039628886,0.043414812,0.208333333,0.141823221,0.006982501,-0.050672192,0.041400075
2018 Q1,0.025445391,-0.023339144,-0.057572741,0.13970894,0.142857143,0.074809666,-0.02492433,0.025001878,-0.056881711
2017 Q4,0.006156964,-0.010313698,0.118325156,0.028217187,-0.045454545,0.169343913,0.103285905,0.007963799,0.001777936
2017 Q3,0.03288388,-0.02697054,0.016115563,0.015190972,0.375,0.12228497,0.049436922,0.0365211,0.000978822
2017 Q2,-0.002088605,-0.046736364,0.059450766,-0.03557974,-0.333333333,-0.090118577,0.033218927,-0.000600563,0.008887692
2017 Q1,0.08635134,-0.019923831,-0.01073067,-0.023303352,0.142857143,-0.058078928,0.045571939,0.088517729,-0.047052785
2016 Q4,-0.133534972,0.072595852,0.161979083,0.530663329,0.4,0.113598673,0.079442762,-0.128905197,0.153443852
2016 Q3,0.001325005,-0.007073019,0.056107119,0.083389831,0.5,-0.001862197,0.021090921,0.010018452,-0.018878885
2016 Q2,0.067704123,0.016386543,-0.07057541,-0.166666667,0.111111111,0.26056338,0.013847823,0.074598096,-0.082519098
2016 Q1,0.166981132,-0.040961179,-0.119526882,-0.21992067,0.285714286,0.035097192,0.014924508,0.168696511,-0.064328457
2015 Q3,-0.048676345,0.009006179,-0.140720399,-0.133673904,-1,-0.24180259,-0.075757498,-0.046501166,-0.02155102
2015 Q2,-0.01347936,-0.03645701,0.053560709,0.218993254,-2,0.249369748,-0.008810134,0.007835385,0.019643749
2015 Q1,-0.015754561,0.097850895,0.100638539,-0.111981567,-1.125,-0.106438896,-0.002634226,-0.018885387,0.003759713
2014 Q4,-0.008631319,0.050383929,0.078971677,-0.130260521,-0.529411765,-0.415642826,0.045776834,-0.010727281,0.091464527
2014Q3,-0.074904943,0.077212372,0.066707118,-0.014612954,-0.19047619,-0.134858119,0.012854647,-0.068175339,0.082206652
2014 Q2,0.017998839,-0.003994994,0.02254342,-0.068775285,0.4,0.037310494,0.022417525,-0.206203328,-0.018310405
201 Q1,0.072436696,0.000749588,-0.089831941,-0.101454065,0,0.032107295,-0.007178768,0.378087187,-0.019846168
2013 Q4,-0.091971353,-0.002243829,0.126973948,0.157170172,0.25,-0.038209714,0.095639231,-0.092653191,0.072075741
2013 Q3,0.11283557,-0.035469485,0.056917583,0.051467632,-0.333333333,0.059755592,0.014760289,0.110448485,-0.009178939
2013 Q2,-0.254184264,0.002168936,0.103195619,0.34287257,0.2,-0.006890877,0.022708721,-0.252454149,0.052218213
2013 Q1,-0.035746606,0.040366066,0.192659483,0.054669704,-0.117647059,0.058919625,0.11251406,-0.028123755,0.08610951
