Date,發行量加權股價報酬指數
1992/1/2,"4,524.92"
1992/1/3,"4,626.36"
1992/1/6,"4,690.26"
1992/1/7,"4,701.48"
1992/1/8,"4,837.35"
1992/1/9,"4,814.24"
1992/1/10,"4,851.31"
1992/1/13,"4,991.79"
1992/1/14,"4,992.95"
1992/1/15,"5,018.23"
1992/1/16,"4,943.81"
1992/1/17,"4,908.30"
1992/1/20,"4,951.56"
1992/1/21,"4,946.39"
1992/1/22,"4,993.80"
1992/1/23,"5,079.34"
1992/1/24,"5,057.86"
1992/1/27,"4,973.12"
1992/1/28,"5,015.69"
1992/2/6,"4,834.09"
1992/2/7,"4,735.87"
1992/2/10,"4,644.36"
1992/2/11,"4,619.47"
1992/2/12,"4,625.36"
1992/2/13,"4,508.43"
1992/2/14,"4,494.46"
1992/2/17,"4,705.58"
1992/2/18,"4,605.80"
1992/2/19,"4,551.32"
1992/2/20,"4,551.19"
1992/2/21,"4,548.83"
1992/2/24,"4,609.69"
1992/2/25,"4,454.82"
1992/2/26,"4,457.16"
1992/2/27,"4,432.93"
1992/3/3,"4,527.17"
1992/3/4,"4,500.17"
1992/3/5,"4,418.58"
1992/3/6,"4,397.91"
1992/3/7,"4,351.05"
1992/3/10,"4,320.45"
1992/3/11,"4,260.90"
1992/3/12,"4,328.61"
1992/3/13,"4,379.45"
1992/3/14,"4,476.64"
1992/3/17,"4,358.45"
1992/3/18,"4,540.20"
1992/3/19,"4,515.55"
1992/3/20,"4,599.74"
1992/3/21,"4,587.41"
1992/3/24,"4,571.16"
1992/3/25,"4,499.30"
1992/3/26,"4,496.53"
1992/3/27,"4,514.72"
1992/3/28,"4,477.49"
1992/3/31,"4,321.68"
1992/4/1,"4,338.07"
1992/4/2,"4,312.02"
1992/4/3,"4,358.86"
1992/4/4,"4,499.65"
1992/4/7,"4,576.31"
1992/4/8,"4,552.93"
1992/4/9,"4,537.87"
1992/4/10,"4,541.84"
1992/4/11,"4,530.88"
1992/4/14,"4,460.29"
1992/4/15,"4,488.07"
1992/4/16,"4,609.81"
1992/4/17,"4,567.58"
1992/4/18,"4,659.24"
1992/4/21,"4,649.06"
1992/4/22,"4,557.02"
1992/4/23,"4,565.86"
1992/4/24,"4,375.83"
1992/4/25,"4,234.40"
1992/4/28,"4,140.34"
1992/4/29,"4,201.17"
1992/4/30,"4,148.91"
1992/5/2,"4,188.67"
1992/5/5,"4,202.99"
1992/5/6,"4,221.72"
1992/5/7,"4,277.20"
1992/5/8,"4,192.52"
1992/5/9,"4,245.46"
1992/5/12,"4,262.30"
1992/5/13,"4,335.90"
1992/5/14,"4,342.41"
